tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
nanopolish_NZ_LT632320.1,nanopolish,13,12597.999999999998,0.735520784680056,0.7383591420256542
nanopolish_NZ_CP018109.1,nanopolish,13,13963.0,0.8152148528724895,0.8161040850788629
nanopolish_NC_017646.1,nanopolish,13,15690.0,0.9160439047174218,0.9197400567671454
nanopolish_CP018206.1,nanopolish,13,15281.0,0.8921648762260626,0.8955825818273254
nanopolish_NZ_CP011134.1,nanopolish,13,15655.0,0.914000467071462,0.9170229583587752
nanopolish_NZ_CP008697.1,nanopolish,13,16138.0,0.9421999065857076,0.9445397549671208
nanopolish_CP010230.1,nanopolish,13,14631.0,0.8542153199439514,0.8565731326123577
nanopolish_NC_010498.1,nanopolish,13,15555.0,0.908162073797291,0.9087504041964534
nanopolish_NZ_CP015228.1,nanopolish,13,15082.000000000002,0.8805464736104625,0.8823967951711894
nanopolish_NZ_CP009859.1,nanopolish,13,16127.999999999998,0.9416160672582904,0.9432508173750532
nanopolish_NZ_HG941718.1,nanopolish,13,12625.0,0.7370971508640822,0.7398681421334381
nanopolish_CU928163.2,nanopolish,13,15170.0,0.8856842596917328,0.8862411525886512
nanopolish_NC_011742.1,nanopolish,13,12936.0,0.7552545539467539,0.7589147774224846
nanopolish_CP010171.1,nanopolish,13,14097.0,0.8230382998598785,0.8255847375417591
nanopolish_NC_007779.1,nanopolish,13,14074.0,0.8216954694068193,0.8235323177523058
nanopolish_NZ_CP016007.1,nanopolish,13,12288.0,0.7174217655301262,0.7211313907951002
nanopolish_NZ_CP013483.1,nanopolish,13,14223.000000000002,0.8303946753853341,0.8329366219954649
nanopolish_CP010116.1,nanopolish,13,14871.0,0.8682274638019617,0.8717529551252097
nanopolish_CP010226.1,nanopolish,13,13425.0,0.7838042970574498,0.7866022347572947
nanopolish_CP010170.1,nanopolish,13,13888.0,0.8108360579168613,0.814563647468824
pandora_nanopore_withdenovo,pandora with denovo,14,16642.0,0.8269316770186336,0.8873575865128398
medaka_NC_011993.1,medaka,14,17026.0,0.8460124223602484,0.8426583850931683
medaka_NC_022648.1,medaka,14,17265.000000000004,0.8578881987577641,0.8518260869565264
medaka_CP010121.1,medaka,14,18938.0,0.9410186335403726,0.9376610470275064
medaka_NZ_LM995446.1,medaka,14,18102.0,0.8994782608695652,0.8962626441881111
medaka_NZ_LT632320.1,medaka,14,17339.0,0.8615652173913043,0.8538101153504908
medaka_NZ_CP018109.1,medaka,14,17952.0,0.8920248447204969,0.8877409050576743
medaka_NC_017646.1,medaka,14,19290.0,0.9585093167701864,0.9529795918367272
medaka_CP018206.1,medaka,14,19334.000000000004,0.9606956521739132,0.9583531499556344
medaka_NZ_CP011134.1,medaka,14,19301.0,0.9590559006211179,0.9401561668145234
medaka_NZ_CP008697.1,medaka,14,19566.0,0.9722236024844721,0.9691783496007084
medaka_CP010230.1,medaka,14,18675.0,0.9279503105590062,0.9253132209405492
medaka_NC_010498.1,medaka,14,19129.0,0.9505093167701864,0.9458491570541244
medaka_NZ_CP015228.1,medaka,14,19038.0,0.9459875776397516,0.9428997338065632
medaka_NZ_CP009859.1,medaka,14,19375.0,0.9627329192546584,0.9605004436557228
medaka_NZ_HG941718.1,medaka,14,17320.0,0.8606211180124224,0.8543744454303509
medaka_CU928163.2,medaka,14,18995.0,0.9438509316770186,0.9408624667258221
medaka_NC_011742.1,medaka,14,17474.0,0.8682732919254659,0.8643691215616718
medaka_CP010171.1,medaka,14,18259.0,0.9072795031055899,0.9031162377994686
medaka_NC_007779.1,medaka,14,18422.0,0.9153788819875776,0.9121916592724056
medaka_NZ_CP016007.1,medaka,14,17090.0,0.8491925465838509,0.8458065661047071
medaka_NZ_CP013483.1,medaka,14,18339.0,0.9112546583850932,0.9071126885536804
medaka_CP010116.1,medaka,14,18945.0,0.9413664596273292,0.9386796805678792
medaka_CP010226.1,medaka,14,17550.0,0.8720496894409938,0.8676947648624652
medaka_CP010170.1,medaka,14,18422.0,0.9153788819875776,0.911659272404614
nanopolish_NC_011993.1,nanopolish,14,16599.0,0.8247950310559006,0.8288411712511053
nanopolish_NC_022648.1,nanopolish,14,16771.0,0.8333416149068323,0.8360780834072725
nanopolish_CP010121.1,nanopolish,14,18601.0,0.9242732919254658,0.9290257320319416
nanopolish_NZ_LM995446.1,nanopolish,14,17692.0,0.8791055900621118,0.8823496007098416
nanopolish_NZ_LT632320.1,nanopolish,14,16825.0,0.8360248447204969,0.8375829636202263
nanopolish_NZ_CP018109.1,nanopolish,14,17519.0,0.8705093167701863,0.8745519077196081
nanopolish_NC_017646.1,nanopolish,14,18937.0,0.9409689440993788,0.9422928127772832
nanopolish_CP018206.1,nanopolish,14,19034.0,0.9457888198757765,0.9521952085181876
nanopolish_NZ_CP011134.1,nanopolish,14,18852.0,0.9367453416149067,0.941139307897062
nanopolish_NZ_CP008697.1,nanopolish,14,19208.0,0.9544347826086956,0.9589458740017732
nanopolish_CP010230.1,nanopolish,14,18307.0,0.909664596273292,0.9123336291038048
nanopolish_NC_010498.1,nanopolish,14,18791.0,0.9337142857142856,0.935566992014198
nanopolish_NZ_CP015228.1,nanopolish,14,18608.999999999996,0.9246708074534158,0.9274889086069106
nanopolish_NZ_CP009859.1,nanopolish,14,19041.0,0.9461366459627328,0.9509174800354931
nanopolish_NZ_HG941718.1,nanopolish,14,16827.0,0.8361242236024845,0.8385164152617537
nanopolish_CU928163.2,nanopolish,14,18685.0,0.928447204968944,0.9329973380656597
nanopolish_NC_011742.1,nanopolish,14,17009.0,0.845167701863354,0.8497568766637066
nanopolish_CP010171.1,nanopolish,14,17831.0,0.8860124223602485,0.8891748003549129
nanopolish_NC_007779.1,nanopolish,14,18018.0,0.8953043478260869,0.8984915705412514
nanopolish_NZ_CP016007.1,nanopolish,14,16664.0,0.8280248447204969,0.8316308784383276
nanopolish_NZ_CP013483.1,nanopolish,14,17830.0,0.8859627329192546,0.8902963620230605
nanopolish_CP010116.1,nanopolish,14,18656.000000000004,0.9270062111801244,0.9326672582076286
nanopolish_CP010226.1,nanopolish,14,17146.0,0.8519751552795031,0.8533842058562447
nanopolish_CP010170.1,nanopolish,14,18000.0,0.8944099378881988,0.8985093167701762
pandora_nanopore_withdenovo,pandora with denovo,15,26191.0,0.8450345228108667,0.9181389946441012
medaka_NC_011993.1,medaka,15,29377.0,0.9478286119894171,0.9443505194553741
medaka_NC_022648.1,medaka,15,29324.0,0.9461186036006968,0.9418597147835004
medaka_CP010121.1,medaka,15,30200.0,0.9743821384784151,0.9712804628852878
medaka_NZ_LM995446.1,medaka,15,29685.000000000004,0.9577660192295284,0.9548815899851568
medaka_NZ_LT632320.1,medaka,15,29332.0,0.946376718074466,0.9419629605730095
medaka_NZ_CP018109.1,medaka,15,29325.0,0.946150867909918,0.9415585812307736
medaka_NC_017646.1,medaka,15,30574.0,0.9864489901271214,0.9830246714417804
medaka_CP018206.1,medaka,15,30654.0,0.9890301348648124,0.9860833279559468
medaka_NZ_CP011134.1,medaka,15,30600.0,0.987287862166871,0.9741347787743754
medaka_NZ_CP008697.1,medaka,15,30560.000000000004,0.9859972897980256,0.9829665956851836
medaka_CP010230.1,medaka,15,30222.000000000004,0.9750919532812804,0.9716525779183058
medaka_NC_010498.1,medaka,15,30262.0,0.9763825256501258,0.9727775268331476
medaka_NZ_CP015228.1,medaka,15,30256.0,0.976188939794799,0.9730012260437492
medaka_NZ_CP009859.1,medaka,15,30403.0,0.9809317932503064,0.9776494375255408
medaka_NZ_HG941718.1,medaka,15,29326.0,0.9461831322191392,0.9420339420532946
medaka_CU928163.2,medaka,15,30410.0,0.9811576434148545,0.9780903830848962
medaka_NC_011742.1,medaka,15,29654.0,0.956765825643673,0.9529414295239904
medaka_CP010171.1,medaka,15,29813.0,0.9618958508098342,0.9590522896904772
medaka_NC_007779.1,medaka,15,29937.000000000004,0.9658966251532556,0.9628293648232968
medaka_NZ_CP016007.1,medaka,15,29448.000000000004,0.9501193779441184,0.9470800800154824
medaka_NZ_CP013483.1,medaka,15,29856.0,0.9632832161063432,0.9596330472564568
medaka_CP010116.1,medaka,15,29665.000000000004,0.9571207330451056,0.9545094749521396
medaka_CP010226.1,medaka,15,29112.0,0.9392785700458152,0.9367856144199936
medaka_CP010170.1,medaka,15,30104.0,0.9712847647931858,0.968695016239702
nanopolish_NC_011993.1,nanopolish,15,28894.0,0.9322449506356068,0.9355896840248632
nanopolish_NC_022648.1,nanopolish,15,28780.999999999996,0.928599083693618,0.931225398464217
nanopolish_CP010121.1,nanopolish,15,29817.000000000004,0.9620249080467188,0.9650534512056068
nanopolish_NZ_LM995446.1,nanopolish,15,29319.0,0.9459572820545912,0.9489815233055848
nanopolish_NZ_LT632320.1,nanopolish,15,28784.000000000004,0.9286958766212816,0.9309113591877972
nanopolish_NZ_CP018109.1,nanopolish,15,28865.0,0.9313092856681938,0.9348669634983092
nanopolish_NC_017646.1,nanopolish,15,30185.0,0.973898173840098,0.9774085306833564
nanopolish_CP018206.1,nanopolish,15,30363.0,0.9796412208814608,0.9828375384482996
nanopolish_NZ_CP011134.1,nanopolish,15,30205.0,0.9745434600245207,0.9780237035125072
nanopolish_NZ_CP008697.1,nanopolish,15,30181.000000000004,0.9737691166032136,0.9769998494332216
nanopolish_CP010230.1,nanopolish,15,29833.0,0.9625411369942568,0.9656277559097456
nanopolish_NC_010498.1,nanopolish,15,29863.0,0.9635090662708912,0.9668753091996264
nanopolish_NZ_CP015228.1,nanopolish,15,29861.0,0.9634445376524488,0.9666774214364064
nanopolish_NZ_CP009859.1,nanopolish,15,30058.0,0.9698006065690132,0.9724914499580536
