tool_long_description,tool,NUMBER_OF_SAMPLES,nb_of_found_PanVar,recall_PVR,recall_AvgAR
samtools_NC_010498.1,samtools,12,12588.0,0.8725306716573092,0.8767530787181457
samtools_NZ_CP015228.1,samtools,12,11768.0,0.8156927982255493,0.818297867424505
samtools_NZ_CP009859.1,samtools,12,13308.0,0.9224370971095862,0.9259374783392234
samtools_NZ_HG941718.1,samtools,12,10056.0,0.6970264088168018,0.7006769714193287
samtools_CU928163.2,samtools,12,12167.999999999998,0.8434185901434809,0.8482532751091699
samtools_NC_011742.1,samtools,12,10128.0,0.7020170513620295,0.7054538943185253
samtools_CP010171.1,samtools,12,10579.0,0.7332778817494975,0.7386959635867936
samtools_NC_007779.1,samtools,12,10496.0,0.7275247799265266,0.7335089300154805
samtools_NZ_CP016007.1,samtools,12,9100.0,0.6307617661329452,0.6385192116633183
samtools_NZ_CP013483.1,samtools,12,10936.0,0.7580231510362515,0.7654513527875978
samtools_CP010116.1,samtools,12,11777.0,0.8163166285437028,0.8234675723758685
samtools_CP010226.1,samtools,12,10042.0,0.6960560060996742,0.7019997227420818
samtools_CP010170.1,samtools,12,10624.0,0.7363970333402647,0.7409371317668263
pandora_illumina_withdenovo_global_genotyping,pandora with denovo,13,13889.0,0.810894441849603,0.8729161427082894
snippy_NC_011993.1,snippy,13,12225.0,0.7137435777673984,0.7198424532030311
snippy_NC_022648.1,snippy,13,12401.0,0.7240191499299393,0.7324354183882431
snippy_CP010121.1,snippy,13,14306.0,0.8352405418028959,0.8428439262745662
snippy_NZ_LM995446.1,snippy,13,13804.0,0.8059318075665577,0.8114288793877749
snippy_NZ_LT632320.1,snippy,13,12363.0,0.7218005604857544,0.7339713649265235
snippy_NZ_CP018109.1,snippy,13,13816.999999999998,0.8066907986921998,0.8139932813566608
snippy_NC_017646.1,snippy,13,15608.0,0.9112564222326016,0.9190169942154984
snippy_CP018206.1,snippy,13,15164.0,0.8853339560952825,0.8944283763877402
snippy_NZ_CP011134.1,snippy,13,15477.999999999998,0.9036665109761792,0.914862752847338
snippy_NZ_CP008697.1,snippy,13,16020.0,0.935310602522186,0.943672978119495
snippy_CP010230.1,snippy,13,14491.0,0.8460415693601121,0.8540626235044723
snippy_NC_010498.1,snippy,13,15440.999999999998,0.901506305464736,0.9077219487658514
snippy_NZ_CP015228.1,snippy,13,14935.0,0.8719640354974311,0.8802365896597545
snippy_NZ_CP009859.1,snippy,13,15995.999999999998,0.9339093881363848,0.9425052994646608
snippy_NZ_HG941718.1,snippy,13,12472.0,0.7281644091546007,0.7358845614917527
snippy_CU928163.2,snippy,13,15037.0,0.8779191966370855,0.8844312506736605
snippy_NC_011742.1,snippy,13,12842.0,0.7497664642690332,0.7560270182876418
snippy_CP010171.1,snippy,13,13984.0,0.8164409154600654,0.8243227463801952
snippy_NC_007779.1,snippy,13,13983.0,0.8163825315273237,0.8217987640570523
snippy_NZ_CP016007.1,snippy,13,12202.0,0.7124007473143391,0.7176957209068364
snippy_NZ_CP013483.1,snippy,13,14092.000000000002,0.8227463801961701,0.8306371932597968
snippy_CP010116.1,snippy,13,14778.0,0.8627977580569827,0.8706212050443709
snippy_CP010226.1,snippy,13,13346.0,0.7791919663708547,0.7861037257931212
snippy_CP010170.1,snippy,13,13804.0,0.8059318075665577,0.8132163259440216
samtools_NC_011993.1,samtools,13,12441.0,0.7263545072396077,0.7276344626881759
samtools_NC_022648.1,samtools,13,12653.0,0.7387319009808501,0.7407079725505692
samtools_CP010121.1,samtools,13,14487.0,0.8458080336291453,0.8484038731002761
samtools_NZ_LM995446.1,samtools,13,13944.0,0.814105558150397,0.8163645672403259
samtools_NZ_LT632320.1,samtools,13,12703.0,0.7416510976179356,0.7432633923759558
samtools_NZ_CP018109.1,samtools,13,14028.0,0.8190098085007006,0.820774799698198
samtools_NC_017646.1,samtools,13,15812.000000000002,0.9231667445119104,0.9247206553371886
samtools_CP018206.1,samtools,13,15357.0,0.8966020551144325,0.8988520820608616
samtools_NZ_CP011134.1,samtools,13,15764.000000000002,0.9203643157403084,0.9220035569288241
samtools_NZ_CP008697.1,samtools,13,16189.0,0.9451774871555348,0.948815255272516
samtools_CP010230.1,samtools,13,14679.0,0.8570177487155535,0.8596225703301831
samtools_NC_010498.1,samtools,13,15621.0,0.9120154133582438,0.9137714224122416
samtools_NZ_CP015228.1,samtools,13,15161.0,0.8851588042970574,0.8866543311895931
samtools_NZ_CP009859.1,samtools,13,16178.0,0.944535263895376,0.9477463801961672
samtools_NZ_HG941718.1,samtools,13,12714.999999999998,0.7423517048108359,0.7442244817303191
samtools_CU928163.2,samtools,13,15225.0,0.8888953759925269,0.8898070635576467
