tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MSB1_4I,0.8577260101179534,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MSB1_4I,0.8727848525918869,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_7C,0.8630298575586393,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,0.8626644129704105,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_7C,0.918299239482872,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,0.9263427177774244,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,0.8966739126592793,UMN026,Snippy / UMN026 (CU928163.2)
Pandora illumina no denovo,Escherichia_coli_MINF_8D,0.9090971599487744,PRG,Pandora illumina no denovo / PRG
Snippy,Escherichia_coli_MSB1_6C,0.8447614265267817,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,0.8437100503195974,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_8B,0.8821982916661009,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1D,0.9519729889603008,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,0.8573954265508733,H6,Snippy / H6 (CP010170.1)
Snippy,Escherichia_coli_MSB1_1A,0.9163491889182668,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,0.927434034957496,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_8G,0.9745753458408112,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_8D,0.9545471474861263,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_9D,0.8792819268223556,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_9D,0.9334070778196948,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_1A,0.9272743655372624,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,ST38,0.8874399236031748,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_3B,0.8943207433955532,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_1A,0.9303632621225816,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,ST38,0.8432534402053947,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_1D,0.8296789115827113,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_1D,0.8480894873618376,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_9A,0.8800063852295571,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_1A,0.925745403964037,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_9A,0.8647711192820404,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_9A,0.8496143159011155,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_8D,0.8937752655116992,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_7A,0.9059042399539936,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_4E,0.8809912339313143,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_4E,0.8583293624701519,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,0.9408435395790256,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_7A,0.8561717712719862,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_4E,0.98264089465544,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,0.8795663008324055,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_7C,0.8588004813249477,H7,Snippy / H7 (CP010171.1)
Snippy,ST38,0.8439553099446332,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_1A,0.9080370442328864,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_3B,0.8342090610793074,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_3B,0.8602295271610745,H6,Snippy / H6 (CP010170.1)
Pandora illumina with denovo,Escherichia_coli_MSB1_8G,0.9060987252675874,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,0.927350087482106,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_4E,0.8632487960963975,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_4E,0.887044692841532,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_7C,0.9189157147853304,C4,Snippy / C4 (CP010121.1)
Snippy,H131800734,0.9342874748246999,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Pandora illumina with denovo,Escherichia_coli_MSB2_1A,0.8921813244991456,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_7C,0.8401135737191836,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_9A,0.9196624486273108,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,0.8995685228366394,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_3B,0.8406824189546406,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,H131800734,0.9508646610106636,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_8D,0.9569623226937656,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_7A,0.8521170618462444,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_8B,0.8425345265416423,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_9D,0.9226425841388818,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB2_1A,0.903419753215847,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,0.9121467578601348,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_4I,0.8445753545980328,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_6C,0.8953950177362574,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Pandora illumina with denovo,Escherichia_coli_MINF_1A,0.9093930253137577,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_8D,0.9213248797426103,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_8G,0.9192184179655236,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_3B,0.8677002416359891,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_1A,0.9479392807967496,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_8G,0.9319601425639676,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,0.8660321540916049,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_4I,0.8609573140457052,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_1D,0.8397150016283722,Y5,Snippy / Y5 (NZ_CP013483.1)
