tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Snippy,Escherichia_coli_MINF_8D,20,0.9967516487843292,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9982281720641796,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9960626045870656,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_8D,20,0.997834432522886,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9952751255044788,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9975391278669159,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9931095580273648,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9947829510778621,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9911408603208978,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9971453883256226,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9971453883256226,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9976375627522394,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_8D,20,0.9963579092430356,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9971453883256226,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9953735603898022,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9972438232109458,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9968500836696526,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_8D,20,0.9710601437149324,C1,Snippy / C1 (CP010116.1)
