tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina with denovo,Escherichia_coli_MINF_9A,2,0.7350634535861971,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_9A,2,0.14316269784685584,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_9A,2,0.17239412519606445,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_9A,2,0.2029088835020676,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_9A,2,0.11136460858405818,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1367460430628832,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1601311849422501,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_9A,2,0.3122771994866676,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_9A,2,0.2742050477684301,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_9A,2,0.26536432339940114,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_9A,2,0.4960787109653501,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1240553258234707,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_9A,2,0.18779409667759875,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MINF_9A,2,0.210466276914302,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MINF_9A,2,0.6127192357051191,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MINF_9A,2,0.14302010551832312,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MINF_9A,2,0.2558106373877085,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MINF_9A,2,0.250392128903465,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MINF_9A,2,0.2091829459575075,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1234849565093398,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MINF_9A,2,0.11279053186938542,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1510052759161557,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MINF_9A,2,0.18137744189362606,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MINF_9A,2,0.1320404962213033,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MINF_9A,2,0.16669043205475545,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_1A,2,0.6100682593856656,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_1A,2,0.6365187713310579,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MSB1_1A,2,0.044368600682593864,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.3344709897610921,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.12883959044368598,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.21160409556313994,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.3720136518771331,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.43600682593856654,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.17064846416382254,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.2167235494880546,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.43174061433447103,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.1552901023890785,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.06484641638225255,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.3148464163822526,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.27559726962457337,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.4300341296928328,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.401877133105802,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.34982935153583616,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,Escherichia_coli_MSB1_1A,2,0.3506825938566553,S88,Snippy / S88 (NC_011742.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.08020477815699659,H7,Snippy / H7 (CP010171.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.2150170648464164,W3110,Snippy / W3110 (NC_007779.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.1075085324232082,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.2175767918088737,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.08703071672354949,C1,Snippy / C1 (CP010116.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.10665529010238907,S1,Snippy / S1 (CP010226.1)
Snippy,Escherichia_coli_MSB1_1A,2,0.06911262798634812,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MSB1_3B,2,0.6456643792888335,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MSB1_3B,2,0.6637554585152838,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MSB1_3B,2,0.0923268870867124,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MSB1_3B,2,0.4198378041172801,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MSB1_3B,2,0.33250155957579536,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MSB1_3B,2,0.10667498440424204,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
