tool,sample,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora nanopore no denovo,H131800734,0.8855308089726729,PRG,Pandora nanopore no denovo / PRG
Nanopolish,ST38,0.8579062588878713,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MINF_1A,0.8858179210728613,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8684446921690757,H7 (CP010171.1),Nanopolish / H7 (CP010171.1)
Nanopolish,063_STEC,0.9334208154392662,EC958 (NZ_HG941718.1),Nanopolish / EC958 (NZ_HG941718.1)
Pandora nanopore no denovo,Escherichia_coli_MSB1_4E,0.8822995372810871,PRG,Pandora nanopore no denovo / PRG
Nanopolish,063_STEC,0.9093013802732268,09-00049 (NZ_CP015228.1),Nanopolish / 09-00049 (NZ_CP015228.1)
Nanopolish,Escherichia_coli_MSB1_4I,0.9167742506918032,SMS-3-5 (NC_010498.1),Nanopolish / SMS-3-5 (NC_010498.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8790159800425341,S21 (CP010230.1),Nanopolish / S21 (CP010230.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.972351359342222,MRSN346595 (NZ_CP018109.1),Nanopolish / MRSN346595 (NZ_CP018109.1)
Nanopolish,Escherichia_coli_MSB1_4E,0.8626353146648349,W3110 (NC_007779.1),Nanopolish / W3110 (NC_007779.1)
Nanopolish,Escherichia_coli_MINF_9A,0.8982970134150103,MRSN346647 (CP018206.1),Nanopolish / MRSN346647 (CP018206.1)
Nanopolish,CFT073,0.9269217765722212,NCTC_13441 (NZ_LT632320.1),Nanopolish / NCTC_13441 (NZ_LT632320.1)
Pandora nanopore no denovo,CFT073,0.8919701391614561,PRG,Pandora nanopore no denovo / PRG
Nanopolish,Escherichia_coli_MINF_9A,0.8800820377395248,S88 (NC_011742.1),Nanopolish / S88 (NC_011742.1)
Nanopolish,Escherichia_coli_MSB1_1A,0.909358412997874,C4 (CP010121.1),Nanopolish / C4 (CP010121.1)
